key,title,ts,builder_name,builder_va,entry_count,entries_truncated,time_limit_ms,terrain_id,start_weapon_id,unlock_perk_id,unlock_weapon_id,full_version,player_count,spawn_ids,min_trigger_ms,max_trigger_ms
1.1,Land Hostile,2026-01-19T19:40:58.504Z,quest_build_land_hostile,0x00435bd0,4,False,120000,0,1,0,2,256,1,0x26,500,11500
1.2,Minor Alien Breach,2026-01-19T19:41:07.634Z,quest_build_minor_alien_breach,0x00435cc0,37,False,120000,0,1,0,3,256,1,0x26;0x29,0,54000
1.3,Target Practice,2026-01-19T19:41:16.017Z,quest_build_target_practice,0x00437a00,30,False,65000,0,1,28,0,256,1,0x36,2000,42450
1.4,Frontline Assault,2026-01-19T19:41:24.412Z,quest_build_frontline_assault,0x00437e10,50,False,300000,0,1,0,8,256,1,0x1a;0x26;0x29,0,32800
1.5,Alien Dens,2026-01-19T19:41:33.346Z,quest_build_alien_dens,0x00436720,5,False,180000,0,1,29,0,256,1,0x08,1500,38500
1.6,The Random Factor,2026-01-19T19:41:41.230Z,quest_build_the_random_factor,0x00436350,23,False,300000,0,1,0,5,256,1,0x1d;0x29,1500,91700
1.7,Spider Wave Syndrome,2026-01-19T19:41:49.623Z,quest_build_spider_wave_syndrome,0x00436440,18,False,240000,0,1,30,0,256,1,0x40,1500,95000
1.8,Alien Squads,2026-01-19T19:41:57.732Z,quest_build_alien_squads,0x00435ea0,60,False,180000,0,1,0,6,256,1,0x12;0x26,1500,81200
1.9,Nesting Grounds,2026-01-19T19:42:06.216Z,quest_build_nesting_grounds,0x004364a0,12,False,240000,0,1,31,0,256,1,0x08;0x09;0x1d;0x1e;0x1f,1500,55000
1.10,8-legged Terror,2026-01-19T19:42:14.273Z,quest_build_8_legged_terror,0x00436120,57,False,240000,0,1,0,12,256,1,0x3a;0x3d,1000,34600
2.1,Everred Pastures,2026-01-19T19:42:22.935Z,quest_build_everred_pastures,0x004375a0,34,False,300000,2,1,32,0,256,1,0x1b;0x32;0x33;0x34;0x35,1500,92500
2.2,Spider Spawns,2026-01-19T19:42:30.880Z,quest_build_spider_spawns,0x00436d70,11,False,300000,2,1,0,9,256,1,0x0a;0x10;0x38,1500,31500
